Group Size,Best Estimate (Assumes 40% of Infections are Asymp/Presymp),Estimate Range (Assumes 10-70% of Infections are Asymp/Presymp),Date Updated: 11-23-2020
906,4.85,1.21-8.49,
907,4.85,1.21-8.49,
908,4.86,1.21-8.50,
909,4.86,1.21-8.51,
910,4.87,1.21-8.52,
911,4.87,1.21-8.53,
912,4.88,1.22-8.54,
913,4.88,1.22-8.55,
914,4.89,1.22-8.56,
915,4.89,1.22-8.57,
916,4.90,1.22-8.58,
917,4.91,1.22-8.59,
918,4.91,1.22-8.60,
919,4.92,1.23-8.61,
920,4.92,1.23-8.62,
921,4.93,1.23-8.63,
922,4.93,1.23-8.64,
923,4.94,1.23-8.64,
924,4.94,1.23-8.65,
925,4.95,1.23-8.66,
926,4.95,1.23-8.67,
927,4.96,1.24-8.68,
928,4.96,1.24-8.69,
929,4.97,1.24-8.70,
930,4.98,1.24-8.71,
931,4.98,1.24-8.72,
932,4.99,1.24-8.73,
933,4.99,1.24-8.74,
934,5.00,1.25-8.75,
935,5.00,1.25-8.76,
936,5.01,1.25-8.77,
937,5.01,1.25-8.78,
938,5.02,1.25-8.79,
939,5.02,1.25-8.79,
940,5.03,1.25-8.80,
941,5.03,1.25-8.81,
942,5.04,1.26-8.82,
943,5.04,1.26-8.83,
944,5.05,1.26-8.84,
945,5.06,1.26-8.85,
946,5.06,1.26-8.86,
947,5.07,1.26-8.87,
948,5.07,1.26-8.88,
949,5.08,1.27-8.89,
950,5.08,1.27-8.90,
951,5.09,1.27-8.91,
952,5.09,1.27-8.92,
953,5.10,1.27-8.93,
954,5.10,1.27-8.94,
955,5.11,1.27-8.94,
956,5.11,1.27-8.95,
957,5.12,1.28-8.96,
958,5.13,1.28-8.97,
959,5.13,1.28-8.98,
960,5.14,1.28-8.99,
961,5.14,1.28-9.00,
962,5.15,1.28-9.01,
963,5.15,1.28-9.02,
964,5.16,1.29-9.03,
965,5.16,1.29-9.04,
966,5.17,1.29-9.05,
967,5.17,1.29-9.06,
968,5.18,1.29-9.07,
969,5.18,1.29-9.08,
970,5.19,1.29-9.09,
971,5.19,1.29-9.09,
972,5.20,1.30-9.10,
973,5.21,1.30-9.11,
974,5.21,1.30-9.12,
975,5.22,1.30-9.13,
976,5.22,1.30-9.14,
977,5.23,1.30-9.15,
978,5.23,1.30-9.16,
979,5.24,1.31-9.17,
980,5.24,1.31-9.18,
981,5.25,1.31-9.19,
982,5.25,1.31-9.20,
983,5.26,1.31-9.21,
984,5.26,1.31-9.22,
985,5.27,1.31-9.23,
986,5.28,1.32-9.24,
987,5.28,1.32-9.24,
988,5.29,1.32-9.25,
989,5.29,1.32-9.26,
990,5.30,1.32-9.27,
991,5.30,1.32-9.28,
992,5.31,1.32-9.29,
993,5.31,1.32-9.30,
994,5.32,1.33-9.31,
995,5.32,1.33-9.32,
996,5.33,1.33-9.33,
997,5.33,1.33-9.34,
998,5.34,1.33-9.35,
999,5.34,1.33-9.36,
1000,5.35,1.33-9.37,
1001,5.36,1.34-9.38,
1002,5.36,1.34-9.39,
1003,5.37,1.34-9.39,
1004,5.37,1.34-9.40,
1005,5.38,1.34-9.41,
1006,5.38,1.34-9.42,
1007,5.39,1.34-9.43,
1008,5.39,1.34-9.44,
1009,5.40,1.35-9.45,
1010,5.40,1.35-9.46,
1011,5.41,1.35-9.47,
1012,5.41,1.35-9.48,
1013,5.42,1.35-9.49,
1014,5.43,1.35-9.50,
1015,5.43,1.35-9.51,
1016,5.44,1.36-9.52,
1017,5.44,1.36-9.53,
1018,5.45,1.36-9.54,
1019,5.45,1.36-9.54,
1020,5.46,1.36-9.55,
1021,5.46,1.36-9.56,
1022,5.47,1.36-9.57,
1023,5.47,1.36-9.58,
1024,5.48,1.37-9.59,
1025,5.48,1.37-9.60,
1026,5.49,1.37-9.61,
1027,5.49,1.37-9.62,
1028,5.50,1.37-9.63,
1029,5.51,1.37-9.64,
1030,5.51,1.37-9.65,
1031,5.52,1.38-9.66,
1032,5.52,1.38-9.67,
1033,5.53,1.38-9.68,
1034,5.53,1.38-9.69,
1035,5.54,1.38-9.69,
1036,5.54,1.38-9.70,
1037,5.55,1.38-9.71,
1038,5.55,1.38-9.72,
1039,5.56,1.39-9.73,
1040,5.56,1.39-9.74,
1041,5.57,1.39-9.75,
1042,5.57,1.39-9.76,
1043,5.58,1.39-9.77,
1044,5.59,1.39-9.78,
1045,5.59,1.39-9.79,
1046,5.60,1.40-9.80,
1047,5.60,1.40-9.81,
1048,5.61,1.40-9.82,
1049,5.61,1.40-9.83,
1050,5.62,1.40-9.83,
1051,5.62,1.40-9.84,
1052,5.63,1.40-9.85,
1053,5.63,1.40-9.86,
1054,5.64,1.41-9.87,
1055,5.64,1.41-9.88,
1056,5.65,1.41-9.89,
1057,5.66,1.41-9.90,
1058,5.66,1.41-9.91,
1059,5.67,1.41-9.92,
1060,5.67,1.41-9.93,
1061,5.68,1.42-9.94,
1062,5.68,1.42-9.95,
1063,5.69,1.42-9.96,
1064,5.69,1.42-9.97,
1065,5.70,1.42-9.98,
1066,5.70,1.42-9.98,
1067,5.71,1.42-9.99,
1068,5.71,1.42-10.0,
1069,5.72,1.43-10.0,
1070,5.72,1.43-10.0,
1071,5.73,1.43-10.0,
1072,5.74,1.43-10.0,
1073,5.74,1.43-10.0,
1074,5.75,1.43-10.0,
1075,5.75,1.43-10.0,
1076,5.76,1.44-10.0,
1077,5.76,1.44-10.0,
1078,5.77,1.44-10.1,
1079,5.77,1.44-10.1,
1080,5.78,1.44-10.1,
1081,5.78,1.44-10.1,
1082,5.79,1.44-10.1,
1083,5.79,1.44-10.1,
1084,5.80,1.45-10.1,
1085,5.81,1.45-10.1,
1086,5.81,1.45-10.1,
1087,5.82,1.45-10.1,
1088,5.82,1.45-10.1,
1089,5.83,1.45-10.2,
1090,5.83,1.45-10.2,
1091,5.84,1.46-10.2,
1092,5.84,1.46-10.2,
1093,5.85,1.46-10.2,
1094,5.85,1.46-10.2,
1095,5.86,1.46-10.2,
1096,5.86,1.46-10.2,
1097,5.87,1.46-10.2,
1098,5.87,1.46-10.2,
1099,5.88,1.47-10.2,
1100,5.89,1.47-10.3,
1101,5.89,1.47-10.3,
1102,5.90,1.47-10.3,
1103,5.90,1.47-10.3,
1104,5.91,1.47-10.3,
1105,5.91,1.47-10.3,
1106,5.92,1.48-10.3,
1107,5.92,1.48-10.3,
1108,5.93,1.48-10.3,
1109,5.93,1.48-10.3,
1110,5.94,1.48-10.4,
1111,5.94,1.48-10.4,
1112,5.95,1.48-10.4,
1113,5.96,1.49-10.4,
1114,5.96,1.49-10.4,
1115,5.97,1.49-10.4,
1116,5.97,1.49-10.4,
1117,5.98,1.49-10.4,
1118,5.98,1.49-10.4,
1119,5.99,1.49-10.4,
1120,5.99,1.49-10.4,
1121,6.00,1.50-10.5,
1122,6.00,1.50-10.5,
1123,6.01,1.50-10.5,
1124,6.01,1.50-10.5,
1125,6.02,1.50-10.5,
1126,6.02,1.50-10.5,
1127,6.03,1.50-10.5,
1128,6.04,1.51-10.5,
1129,6.04,1.51-10.5,
1130,6.05,1.51-10.5,
1131,6.05,1.51-10.5,
1132,6.06,1.51-10.6,
1133,6.06,1.51-10.6,
1134,6.07,1.51-10.6,
1135,6.07,1.51-10.6,
1136,6.08,1.52-10.6,
1137,6.08,1.52-10.6,
1138,6.09,1.52-10.6,
1139,6.09,1.52-10.6,
1140,6.10,1.52-10.6,
1141,6.11,1.52-10.6,
1142,6.11,1.52-10.7,
1143,6.12,1.53-10.7,
1144,6.12,1.53-10.7,
1145,6.13,1.53-10.7,
1146,6.13,1.53-10.7,
1147,6.14,1.53-10.7,
1148,6.14,1.53-10.7,
1149,6.15,1.53-10.7,
1150,6.15,1.53-10.7,
1151,6.16,1.54-10.7,
1152,6.16,1.54-10.7,
1153,6.17,1.54-10.8,
1154,6.17,1.54-10.8,
1155,6.18,1.54-10.8,
1156,6.19,1.54-10.8,
1157,6.19,1.54-10.8,
1158,6.20,1.55-10.8,
1159,6.20,1.55-10.8,
1160,6.21,1.55-10.8,
1161,6.21,1.55-10.8,
1162,6.22,1.55-10.8,
1163,6.22,1.55-10.8,
1164,6.23,1.55-10.9,
1165,6.23,1.55-10.9,
1166,6.24,1.56-10.9,
1167,6.24,1.56-10.9,
1168,6.25,1.56-10.9,
1169,6.26,1.56-10.9,
1170,6.26,1.56-10.9,
1171,6.27,1.56-10.9,
1172,6.27,1.56-10.9,
1173,6.28,1.57-10.9,
1174,6.28,1.57-11.0,
1175,6.29,1.57-11.0,
1176,6.29,1.57-11.0,
1177,6.30,1.57-11.0,
1178,6.30,1.57-11.0,
1179,6.31,1.57-11.0,
1180,6.31,1.57-11.0,
1181,6.32,1.58-11.0,
1182,6.32,1.58-11.0,
1183,6.33,1.58-11.0,
1184,6.34,1.58-11.0,
1185,6.34,1.58-11.1,
1186,6.35,1.58-11.1,
1187,6.35,1.58-11.1,
1188,6.36,1.59-11.1,
1189,6.36,1.59-11.1,
1190,6.37,1.59-11.1,
1191,6.37,1.59-11.1,
1192,6.38,1.59-11.1,
1193,6.38,1.59-11.1,
1194,6.39,1.59-11.1,
1195,6.39,1.59-11.1,
1196,6.40,1.60-11.2,
1197,6.41,1.60-11.2,
1198,6.41,1.60-11.2,
1199,6.42,1.60-11.2,
1200,6.42,1.60-11.2,
1201,6.43,1.60-11.2,
1202,6.43,1.60-11.2,
1203,6.44,1.61-11.2,
1204,6.44,1.61-11.2,
1205,6.45,1.61-11.2,
1206,6.45,1.61-11.3,
1207,6.46,1.61-11.3,
1208,6.46,1.61-11.3,
1209,6.47,1.61-11.3,
1210,6.47,1.61-11.3,
1211,6.48,1.62-11.3,
1212,6.49,1.62-11.3,
1213,6.49,1.62-11.3,
1214,6.50,1.62-11.3,
1215,6.50,1.62-11.3,
1216,6.51,1.62-11.3,
1217,6.51,1.62-11.4,
1218,6.52,1.63-11.4,
1219,6.52,1.63-11.4,
1220,6.53,1.63-11.4,
1221,6.53,1.63-11.4,
1222,6.54,1.63-11.4,
1223,6.54,1.63-11.4,
1224,6.55,1.63-11.4,
1225,6.55,1.63-11.4,
1226,6.56,1.64-11.4,
1227,6.57,1.64-11.4,
1228,6.57,1.64-11.5,
1229,6.58,1.64-11.5,
1230,6.58,1.64-11.5,
1231,6.59,1.64-11.5,
1232,6.59,1.64-11.5,
1233,6.60,1.65-11.5,
1234,6.60,1.65-11.5,
1235,6.61,1.65-11.5,
1236,6.61,1.65-11.5,
1237,6.62,1.65-11.5,
1238,6.62,1.65-11.6,
1239,6.63,1.65-11.6,
1240,6.64,1.66-11.6,
1241,6.64,1.66-11.6,
1242,6.65,1.66-11.6,
1243,6.65,1.66-11.6,
1244,6.66,1.66-11.6,
1245,6.66,1.66-11.6,
1246,6.67,1.66-11.6,
1247,6.67,1.66-11.6,
1248,6.68,1.67-11.6,
1249,6.68,1.67-11.7,
1250,6.69,1.67-11.7,
1251,6.69,1.67-11.7,
1252,6.70,1.67-11.7,
1253,6.70,1.67-11.7,
1254,6.71,1.67-11.7,
1255,6.72,1.68-11.7,
1256,6.72,1.68-11.7,
1257,6.73,1.68-11.7,
1258,6.73,1.68-11.7,
1259,6.74,1.68-11.7,
1260,6.74,1.68-11.8,
1261,6.75,1.68-11.8,
1262,6.75,1.68-11.8,
1263,6.76,1.69-11.8,
1264,6.76,1.69-11.8,
1265,6.77,1.69-11.8,
1266,6.77,1.69-11.8,
1267,6.78,1.69-11.8,
1268,6.79,1.69-11.8,
1269,6.79,1.69-11.8,
1270,6.80,1.70-11.9,
1271,6.80,1.70-11.9,
1272,6.81,1.70-11.9,
1273,6.81,1.70-11.9,
1274,6.82,1.70-11.9,
1275,6.82,1.70-11.9,
1276,6.83,1.70-11.9,
1277,6.83,1.70-11.9,
1278,6.84,1.71-11.9,
1279,6.84,1.71-11.9,
1280,6.85,1.71-11.9,
1281,6.85,1.71-12.0,
1282,6.86,1.71-12.0,
1283,6.87,1.71-12.0,
1284,6.87,1.71-12.0,
1285,6.88,1.72-12.0,
1286,6.88,1.72-12.0,
1287,6.89,1.72-12.0,
1288,6.89,1.72-12.0,
1289,6.90,1.72-12.0,
1290,6.90,1.72-12.0,
1291,6.91,1.72-12.0,
1292,6.91,1.72-12.1,
1293,6.92,1.73-12.1,
1294,6.92,1.73-12.1,
1295,6.93,1.73-12.1,
1296,6.94,1.73-12.1,
1297,6.94,1.73-12.1,
1298,6.95,1.73-12.1,
1299,6.95,1.73-12.1,
1300,6.96,1.74-12.1,
1301,6.96,1.74-12.1,
1302,6.97,1.74-12.2,
1303,6.97,1.74-12.2,
1304,6.98,1.74-12.2,
1305,6.98,1.74-12.2,
1306,6.99,1.74-12.2,
1307,6.99,1.74-12.2,
1308,7.00,1.75-12.2,
1309,7.00,1.75-12.2,
1310,7.01,1.75-12.2,
1311,7.02,1.75-12.2,
1312,7.02,1.75-12.2,
1313,7.03,1.75-12.3,
1314,7.03,1.75-12.3,
1315,7.04,1.76-12.3,
1316,7.04,1.76-12.3,
1317,7.05,1.76-12.3,
1318,7.05,1.76-12.3,
1319,7.06,1.76-12.3,
1320,7.06,1.76-12.3,
1321,7.07,1.76-12.3,
1322,7.07,1.76-12.3,
1323,7.08,1.77-12.3,
1324,7.09,1.77-12.4,
1325,7.09,1.77-12.4,
1326,7.10,1.77-12.4,
1327,7.10,1.77-12.4,
1328,7.11,1.77-12.4,
1329,7.11,1.77-12.4,
1330,7.12,1.78-12.4,
1331,7.12,1.78-12.4,
1332,7.13,1.78-12.4,
1333,7.13,1.78-12.4,
1334,7.14,1.78-12.5,
1335,7.14,1.78-12.5,
1336,7.15,1.78-12.5,
1337,7.15,1.78-12.5,
1338,7.16,1.79-12.5,
1339,7.17,1.79-12.5,
1340,7.17,1.79-12.5,
1341,7.18,1.79-12.5,
1342,7.18,1.79-12.5,
1343,7.19,1.79-12.5,
1344,7.19,1.79-12.5,
1345,7.20,1.80-12.6,
1346,7.20,1.80-12.6,
1347,7.21,1.80-12.6,
1348,7.21,1.80-12.6,
1349,7.22,1.80-12.6,
1350,7.22,1.80-12.6,
1351,7.23,1.80-12.6,
1352,7.24,1.81-12.6,
1353,7.24,1.81-12.6,
1354,7.25,1.81-12.6,
1355,7.25,1.81-12.6,
1356,7.26,1.81-12.7,
1357,7.26,1.81-12.7,
1358,7.27,1.81-12.7,
1359,7.27,1.81-12.7,
1360,7.28,1.82-12.7,
1361,7.28,1.82-12.7,
1362,7.29,1.82-12.7,
1363,7.29,1.82-12.7,
1364,7.30,1.82-12.7,
1365,7.30,1.82-12.7,
1366,7.31,1.82-12.8,
1367,7.32,1.83-12.8,
1368,7.32,1.83-12.8,
1369,7.33,1.83-12.8,
1370,7.33,1.83-12.8,
1371,7.34,1.83-12.8,
1372,7.34,1.83-12.8,
1373,7.35,1.83-12.8,
1374,7.35,1.83-12.8,
1375,7.36,1.84-12.8,
1376,7.36,1.84-12.8,
1377,7.37,1.84-12.9,
1378,7.37,1.84-12.9,
1379,7.38,1.84-12.9,
1380,7.38,1.84-12.9,
1381,7.39,1.84-12.9,
1382,7.40,1.85-12.9,
1383,7.40,1.85-12.9,
1384,7.41,1.85-12.9,
1385,7.41,1.85-12.9,
1386,7.42,1.85-12.9,
1387,7.42,1.85-12.9,
1388,7.43,1.85-13.0,
1389,7.43,1.85-13.0,
1390,7.44,1.86-13.0,
1391,7.44,1.86-13.0,
1392,7.45,1.86-13.0,
1393,7.45,1.86-13.0,
1394,7.46,1.86-13.0,
1395,7.47,1.86-13.0,
1396,7.47,1.86-13.0,
1397,7.48,1.87-13.0,
1398,7.48,1.87-13.1,
1399,7.49,1.87-13.1,
1400,7.49,1.87-13.1,
1401,7.50,1.87-13.1,
1402,7.50,1.87-13.1,
1403,7.51,1.87-13.1,
1404,7.51,1.87-13.1,
1405,7.52,1.88-13.1,
1406,7.52,1.88-13.1,
1407,7.53,1.88-13.1,
1408,7.53,1.88-13.1,
1409,7.54,1.88-13.2,
1410,7.55,1.88-13.2,
1411,7.55,1.88-13.2,
1412,7.56,1.89-13.2,
1413,7.56,1.89-13.2,
1414,7.57,1.89-13.2,
1415,7.57,1.89-13.2,
1416,7.58,1.89-13.2,
1417,7.58,1.89-13.2,
1418,7.59,1.89-13.2,
1419,7.59,1.89-13.2,
1420,7.60,1.90-13.3,
1421,7.60,1.90-13.3,
1422,7.61,1.90-13.3,
1423,7.62,1.90-13.3,
1424,7.62,1.90-13.3,
1425,7.63,1.90-13.3,
1426,7.63,1.90-13.3,
1427,7.64,1.91-13.3,
1428,7.64,1.91-13.3,
1429,7.65,1.91-13.3,
1430,7.65,1.91-13.4,
1431,7.66,1.91-13.4,
1432,7.66,1.91-13.4,
1433,7.67,1.91-13.4,
1434,7.67,1.91-13.4,
1435,7.68,1.92-13.4,
1436,7.68,1.92-13.4,
1437,7.69,1.92-13.4,
1438,7.70,1.92-13.4,
1439,7.70,1.92-13.4,
1440,7.71,1.92-13.4,
1441,7.71,1.92-13.5,
1442,7.72,1.93-13.5,
1443,7.72,1.93-13.5,
1444,7.73,1.93-13.5,
1445,7.73,1.93-13.5,
1446,7.74,1.93-13.5,
1447,7.74,1.93-13.5,
1448,7.75,1.93-13.5,
1449,7.75,1.93-13.5,
1450,7.76,1.94-13.5,
1451,7.77,1.94-13.5,
1452,7.77,1.94-13.6,
1453,7.78,1.94-13.6,
1454,7.78,1.94-13.6,
1455,7.79,1.94-13.6,
1456,7.79,1.94-13.6,
1457,7.80,1.95-13.6,
1458,7.80,1.95-13.6,
1459,7.81,1.95-13.6,
1460,7.81,1.95-13.6,
1461,7.82,1.95-13.6,
1462,7.82,1.95-13.7,
1463,7.83,1.95-13.7,
1464,7.83,1.95-13.7,
1465,7.84,1.96-13.7,
1466,7.85,1.96-13.7,
1467,7.85,1.96-13.7,
1468,7.86,1.96-13.7,
1469,7.86,1.96-13.7,
1470,7.87,1.96-13.7,
1471,7.87,1.96-13.7,
1472,7.88,1.97-13.7,
1473,7.88,1.97-13.8,
1474,7.89,1.97-13.8,
1475,7.89,1.97-13.8,
1476,7.90,1.97-13.8,
1477,7.90,1.97-13.8,
1478,7.91,1.97-13.8,
1479,7.92,1.98-13.8,
1480,7.92,1.98-13.8,
1481,7.93,1.98-13.8,
1482,7.93,1.98-13.8,
1483,7.94,1.98-13.8,
1484,7.94,1.98-13.9,
1485,7.95,1.98-13.9,
1486,7.95,1.98-13.9,
1487,7.96,1.99-13.9,
1488,7.96,1.99-13.9,
1489,7.97,1.99-13.9,
1490,7.97,1.99-13.9,
1491,7.98,1.99-13.9,
1492,7.98,1.99-13.9,
1493,7.99,1.99-13.9,
1494,8.00,2.00-14.0,
1495,8.00,2.00-14.0,
1496,8.01,2.00-14.0,
1497,8.01,2.00-14.0,
1498,8.02,2.00-14.0,
1499,8.02,2.00-14.0,
1500,8.03,2.00-14.0,
1501,8.03,2.00-14.0,
1502,8.04,2.01-14.0,
1503,8.04,2.01-14.0,
1504,8.05,2.01-14.0,
1505,8.05,2.01-14.1,
1506,8.06,2.01-14.1,
1507,8.07,2.01-14.1,
1508,8.07,2.01-14.1,
1509,8.08,2.02-14.1,
1510,8.08,2.02-14.1,
1511,8.09,2.02-14.1,
1512,8.09,2.02-14.1,
1513,8.10,2.02-14.1,
1514,8.10,2.02-14.1,
1515,8.11,2.02-14.1,
1516,8.11,2.02-14.2,
1517,8.12,2.03-14.2,
1518,8.12,2.03-14.2,
1519,8.13,2.03-14.2,
1520,8.13,2.03-14.2,
1521,8.14,2.03-14.2,
1522,8.15,2.03-14.2,
1523,8.15,2.03-14.2,
1524,8.16,2.04-14.2,
1525,8.16,2.04-14.2,
1526,8.17,2.04-14.3,
1527,8.17,2.04-14.3,
1528,8.18,2.04-14.3,
1529,8.18,2.04-14.3,
1530,8.19,2.04-14.3,
1531,8.19,2.04-14.3,
1532,8.20,2.05-14.3,
1533,8.20,2.05-14.3,
1534,8.21,2.05-14.3,
1535,8.22,2.05-14.3,
1536,8.22,2.05-14.3,
1537,8.23,2.05-14.4,
1538,8.23,2.05-14.4,
1539,8.24,2.06-14.4,
1540,8.24,2.06-14.4,
1541,8.25,2.06-14.4,
1542,8.25,2.06-14.4,
1543,8.26,2.06-14.4,
1544,8.26,2.06-14.4,
1545,8.27,2.06-14.4,
1546,8.27,2.06-14.4,
1547,8.28,2.07-14.4,
1548,8.28,2.07-14.5,
1549,8.29,2.07-14.5,
1550,8.30,2.07-14.5,
1551,8.30,2.07-14.5,
1552,8.31,2.07-14.5,
1553,8.31,2.07-14.5,
1554,8.32,2.08-14.5,
1555,8.32,2.08-14.5,
1556,8.33,2.08-14.5,
1557,8.33,2.08-14.5,
1558,8.34,2.08-14.6,
1559,8.34,2.08-14.6,
1560,8.35,2.08-14.6,
1561,8.35,2.08-14.6,
1562,8.36,2.09-14.6,
1563,8.36,2.09-14.6,
1564,8.37,2.09-14.6,
1565,8.38,2.09-14.6,
1566,8.38,2.09-14.6,
1567,8.39,2.09-14.6,
1568,8.39,2.09-14.6,
1569,8.40,2.10-14.7,
1570,8.40,2.10-14.7,
1571,8.41,2.10-14.7,
1572,8.41,2.10-14.7,
1573,8.42,2.10-14.7,
1574,8.42,2.10-14.7,
1575,8.43,2.10-14.7,
1576,8.43,2.10-14.7,
1577,8.44,2.11-14.7,
1578,8.45,2.11-14.7,
1579,8.45,2.11-14.7,
1580,8.46,2.11-14.8,
1581,8.46,2.11-14.8,
1582,8.47,2.11-14.8,
1583,8.47,2.11-14.8,
1584,8.48,2.12-14.8,
1585,8.48,2.12-14.8,
1586,8.49,2.12-14.8,
1587,8.49,2.12-14.8,
1588,8.50,2.12-14.8,
1589,8.50,2.12-14.8,
1590,8.51,2.12-14.9,
1591,8.51,2.12-14.9,
1592,8.52,2.13-14.9,
1593,8.53,2.13-14.9,
1594,8.53,2.13-14.9,
1595,8.54,2.13-14.9,
1596,8.54,2.13-14.9,
1597,8.55,2.13-14.9,
1598,8.55,2.13-14.9,
1599,8.56,2.14-14.9,
1600,8.56,2.14-14.9,
1601,8.57,2.14-15.0,
1602,8.57,2.14-15.0,
1603,8.58,2.14-15.0,
1604,8.58,2.14-15.0,
1605,8.59,2.14-15.0,
1606,8.60,2.15-15.0,
1607,8.60,2.15-15.0,
1608,8.61,2.15-15.0,
1609,8.61,2.15-15.0,
1610,8.62,2.15-15.0,
1611,8.62,2.15-15.0,
1612,8.63,2.15-15.1,
1613,8.63,2.15-15.1,
1614,8.64,2.16-15.1,
1615,8.64,2.16-15.1,
1616,8.65,2.16-15.1,
1617,8.65,2.16-15.1,
1618,8.66,2.16-15.1,
1619,8.66,2.16-15.1,
1620,8.67,2.16-15.1,
1621,8.68,2.17-15.1,
1622,8.68,2.17-15.2,
1623,8.69,2.17-15.2,
1624,8.69,2.17-15.2,
1625,8.70,2.17-15.2,
1626,8.70,2.17-15.2,
1627,8.71,2.17-15.2,
1628,8.71,2.17-15.2,
1629,8.72,2.18-15.2,
1630,8.72,2.18-15.2,
1631,8.73,2.18-15.2,
1632,8.73,2.18-15.2,
1633,8.74,2.18-15.3,
1634,8.75,2.18-15.3,
1635,8.75,2.18-15.3,
1636,8.76,2.19-15.3,
1637,8.76,2.19-15.3,
1638,8.77,2.19-15.3,
1639,8.77,2.19-15.3,
1640,8.78,2.19-15.3,
1641,8.78,2.19-15.3,
1642,8.79,2.19-15.3,
1643,8.79,2.19-15.3,
1644,8.80,2.20-15.4,
1645,8.80,2.20-15.4,
1646,8.81,2.20-15.4,
1647,8.81,2.20-15.4,
1648,8.82,2.20-15.4,
1649,8.83,2.20-15.4,
1650,8.83,2.20-15.4,
1651,8.84,2.21-15.4,
1652,8.84,2.21-15.4,
1653,8.85,2.21-15.4,
1654,8.85,2.21-15.5,
1655,8.86,2.21-15.5,
1656,8.86,2.21-15.5,
1657,8.87,2.21-15.5,
1658,8.87,2.21-15.5,
1659,8.88,2.22-15.5,
1660,8.88,2.22-15.5,
1661,8.89,2.22-15.5,
1662,8.90,2.22-15.5,
1663,8.90,2.22-15.5,
1664,8.91,2.22-15.5,
1665,8.91,2.22-15.6,
1666,8.92,2.23-15.6,
1667,8.92,2.23-15.6,
1668,8.93,2.23-15.6,
1669,8.93,2.23-15.6,
1670,8.94,2.23-15.6,
1671,8.94,2.23-15.6,
1672,8.95,2.23-15.6,
1673,8.95,2.23-15.6,
1674,8.96,2.24-15.6,
1675,8.96,2.24-15.6,
1676,8.97,2.24-15.7,
1677,8.98,2.24-15.7,
1678,8.98,2.24-15.7,
1679,8.99,2.24-15.7,
1680,8.99,2.24-15.7,
1681,9.00,2.25-15.7,
1682,9.00,2.25-15.7,
1683,9.01,2.25-15.7,
1684,9.01,2.25-15.7,
1685,9.02,2.25-15.7,
1686,9.02,2.25-15.8,
1687,9.03,2.25-15.8,
1688,9.03,2.25-15.8,
1689,9.04,2.26-15.8,
1690,9.05,2.26-15.8,
1691,9.05,2.26-15.8,
1692,9.06,2.26-15.8,
1693,9.06,2.26-15.8,
1694,9.07,2.26-15.8,
1695,9.07,2.26-15.8,
1696,9.08,2.27-15.8,
1697,9.08,2.27-15.9,
1698,9.09,2.27-15.9,
1699,9.09,2.27-15.9,
1700,9.10,2.27-15.9,
1701,9.10,2.27-15.9,
1702,9.11,2.27-15.9,
1703,9.11,2.27-15.9,
1704,9.12,2.28-15.9,
1705,9.13,2.28-15.9,
1706,9.13,2.28-15.9,
1707,9.14,2.28-15.9,
1708,9.14,2.28-16.0,
1709,9.15,2.28-16.0,
1710,9.15,2.28-16.0,
1711,9.16,2.29-16.0,
1712,9.16,2.29-16.0,
1713,9.17,2.29-16.0,
1714,9.17,2.29-16.0,
1715,9.18,2.29-16.0,
1716,9.18,2.29-16.0,
1717,9.19,2.29-16.0,
1718,9.20,2.30-16.1,
1719,9.20,2.30-16.1,
1720,9.21,2.30-16.1,
1721,9.21,2.30-16.1,
1722,9.22,2.30-16.1,
1723,9.22,2.30-16.1,
1724,9.23,2.30-16.1,
1725,9.23,2.30-16.1,
1726,9.24,2.31-16.1,
1727,9.24,2.31-16.1,
1728,9.25,2.31-16.1,
1729,9.25,2.31-16.2,
1730,9.26,2.31-16.2,
1731,9.26,2.31-16.2,
1732,9.27,2.31-16.2,
1733,9.28,2.32-16.2,
1734,9.28,2.32-16.2,
1735,9.29,2.32-16.2,
1736,9.29,2.32-16.2,
1737,9.30,2.32-16.2,
1738,9.30,2.32-16.2,
1739,9.31,2.32-16.2,
1740,9.31,2.32-16.3,
1741,9.32,2.33-16.3,
1742,9.32,2.33-16.3,
1743,9.33,2.33-16.3,
1744,9.33,2.33-16.3,
1745,9.34,2.33-16.3,
1746,9.34,2.33-16.3,
1747,9.35,2.33-16.3,
1748,9.36,2.34-16.3,
1749,9.36,2.34-16.3,
1750,9.37,2.34-16.3,
1751,9.37,2.34-16.4,
1752,9.38,2.34-16.4,
1753,9.38,2.34-16.4,
1754,9.39,2.34-16.4,
1755,9.39,2.34-16.4,
1756,9.40,2.35-16.4,
1757,9.40,2.35-16.4,
1758,9.41,2.35-16.4,
1759,9.41,2.35-16.4,
1760,9.42,2.35-16.4,
1761,9.43,2.35-16.5,
1762,9.43,2.35-16.5,
1763,9.44,2.36-16.5,
1764,9.44,2.36-16.5,
1765,9.45,2.36-16.5,
1766,9.45,2.36-16.5,
1767,9.46,2.36-16.5,
1768,9.46,2.36-16.5,
1769,9.47,2.36-16.5,
1770,9.47,2.36-16.5,
1771,9.48,2.37-16.5,
1772,9.48,2.37-16.6,
1773,9.49,2.37-16.6,
1774,9.49,2.37-16.6,
1775,9.50,2.37-16.6,
1776,9.51,2.37-16.6,
1777,9.51,2.37-16.6,
1778,9.52,2.38-16.6,
1779,9.52,2.38-16.6,
1780,9.53,2.38-16.6,
