Group Size,Best Estimate (Assumes 40% of Infections are Asymp/Presymp),Estimate Range (Assumes 10-70% of Infections are Asymp/Presymp),Date Updated: 11-23-2020
180,0.96,0.24-1.68,
181,0.96,0.24-1.69,
182,0.97,0.24-1.70,
183,0.97,0.24-1.71,
184,0.98,0.24-1.72,
185,0.99,0.24-1.73,
186,0.99,0.24-1.74,
187,1.00,0.25-1.75,
188,1.00,0.25-1.76,
189,1.01,0.25-1.77,
190,1.01,0.25-1.78,
191,1.02,0.25-1.78,
192,1.02,0.25-1.79,
193,1.03,0.25-1.80,
194,1.03,0.25-1.81,
195,1.04,0.26-1.82,
196,1.04,0.26-1.83,
197,1.05,0.26-1.84,
198,1.06,0.26-1.85,
199,1.06,0.26-1.86,
200,1.07,0.26-1.87,
201,1.07,0.26-1.88,
202,1.08,0.27-1.89,
203,1.08,0.27-1.90,
204,1.09,0.27-1.91,
205,1.09,0.27-1.92,
206,1.10,0.27-1.93,
207,1.10,0.27-1.93,
208,1.11,0.27-1.94,
209,1.11,0.27-1.95,
210,1.12,0.28-1.96,
211,1.12,0.28-1.97,
212,1.13,0.28-1.98,
213,1.14,0.28-1.99,
214,1.14,0.28-2.00,
215,1.15,0.28-2.01,
216,1.15,0.28-2.02,
217,1.16,0.29-2.03,
218,1.16,0.29-2.04,
219,1.17,0.29-2.05,
220,1.17,0.29-2.06,
221,1.18,0.29-2.07,
222,1.18,0.29-2.08,
223,1.19,0.29-2.08,
224,1.19,0.29-2.09,
225,1.20,0.30-2.10,
226,1.21,0.30-2.11,
227,1.21,0.30-2.12,
228,1.22,0.30-2.13,
229,1.22,0.30-2.14,
230,1.23,0.30-2.15,
231,1.23,0.30-2.16,
232,1.24,0.31-2.17,
233,1.24,0.31-2.18,
234,1.25,0.31-2.19,
235,1.25,0.31-2.20,
236,1.26,0.31-2.21,
237,1.26,0.31-2.22,
238,1.27,0.31-2.23,
239,1.27,0.31-2.23,
240,1.28,0.32-2.24,
241,1.29,0.32-2.25,
242,1.29,0.32-2.26,
243,1.30,0.32-2.27,
244,1.30,0.32-2.28,
245,1.31,0.32-2.29,
246,1.31,0.32-2.30,
247,1.32,0.33-2.31,
248,1.32,0.33-2.32,
249,1.33,0.33-2.33,
250,1.33,0.33-2.34,
251,1.34,0.33-2.35,
252,1.34,0.33-2.36,
253,1.35,0.33-2.37,
