Race and Ethicity,,,,,,
,Asian,Black,White,H/PI,Other,Unknown
Case (N=17392),1.13%,8.57%,76.84%,0.20%,3.85%,14.93%
Not a Case (Negative test) (N=53702),1.10%,8.33%,63.66%,0.14%,2.32%,25.85%
,,,,,,
,Hispanic,Non-Hispanic,Unknown,,,
Case (N=17392),8.60%,77.90%,19.03%,,,
Not a Case (Negative test) (N=39212),1.12%,47.97%,50.91%,,,
