,Asian,Black,White,H/PI,Other,Unknown
Case (N=35843),1.16%,7.99%,81.10%,0.11%,2.54%,20.55%
Not a Case (Negative test) (N=23649),1.06%,7.43%,59.21%,0.16%,6.70%,26.98%
