,Asian,Black,White,H/PI,Other,Unknown
Case (N=5731),0.95%,12.32%,72.07%,0.29%,5.70%,12.27%
Not a Case (Negative test) (N=30729),1.12%,9.52%,70.43%,0.14%,3.74%,16.33%
