,Asian,Black,White,H/PI,Other,Unknown
Case (N=52019),1.22%,7.51%,76.25%,0.12%,3.44%,11.46%
Not a Case (Negative test) (N=23649),0.85%,7.01%,50.35%,0.21%,8.59%,37.01%
