,Asian,Black,White,H/PI,Other,Unknown
Case (N=9813),1.28%,10.59%,77.12%,0.29%,4.84%,10.28%
Not a Case (Negative test) (N=30729),1.03%,9.87%,68.95%,0.16%,4.19%,17.61%
