,Asian,Black,White,H/PI,Other,Unknown
Case (N=35843),1.36%,8.41%,85.29%,0.11%,3.73%,16.84%
Not a Case (Negative test) (N=23649),0.94%,7.29%,56.11%,0.18%,7.39%,30.87%
