,Asian,Black,White,H/PI,Other,Unknown
Case (N=52157),1.22%,7.51%,76.24%,0.12%,3.45%,11.46%
Not a Case (Negative test) (N=23649),0.85%,7.01%,50.29%,0.21%,8.61%,37.07%
