,Asian,Black,White,H/PI,Other,Unknown
Case (N=52030),1.21%,7.68%,76.32%,0.12%,3.51%,11.16%
Not a Case (Negative test) (N=23649),0.87%,6.81%,50.11%,0.21%,8.65%,37.51%
