,Asian,Black,White,H/PI,Other,Unknown
Case (N=14708),1.11%,9.02%,78.45%,0.21%,3.84%,12.72%
Not a Case (Negative test) (N=53702),1.10%,8.18%,63.47%,0.13%,2.24%,26.08%
