,Asian,Black,White,H/PI,Other,Unknown
Case (N=18824),1.11%,8.41%,77.10%,0.19%,3.66%,15.38%
Not a Case (Negative test) (N=53702),1.11%,8.40%,63.37%,0.14%,2.39%,26.06%
