,Asian,Black,White,H/PI,Other,Unknown
Case (N=7141),1.00%,11.82%,73.22%,0.28%,5.41%,11.84%
Not a Case (Negative test) (N=30729),1.11%,9.59%,70.17%,0.14%,3.81%,16.52%
