,Asian,Black,White,H/PI,Other,Unknown
Case (N=10197),1.27%,10.39%,77.85%,0.27%,4.67%,9.87%
Not a Case (Negative test) (N=30729),1.03%,9.94%,68.56%,0.16%,4.27%,17.91%
