,Asian,Black,White,H/PI,Other,Unknown
Case (N=11525),1.20%,10.11%,77.08%,0.24%,4.32%,11.64%
Not a Case (Negative test) (N=30729),1.05%,10.08%,68.66%,0.17%,4.51%,17.59%
