,Asian,Black,White,H/PI,Other,Unknown
Case (N=10695),1.25%,10.31%,78.17%,0.26%,4.55%,9.74%
Not a Case (Negative test) (N=30729),1.03%,9.97%,68.33%,0.16%,4.34%,18.09%
