,Asian,Black,White,H/PI,Other,Unknown
Case (N=5731),0.91%,12.49%,70.22%,0.30%,5.98%,13.73%
Not a Case (Negative test) (N=30729),1.12%,9.54%,70.76%,0.14%,3.66%,15.96%
