,Asian,Black,White,H/PI,Other,Unknown
Case (N=13339),1.12%,9.73%,76.96%,0.22%,4.01%,12.78%
Not a Case (Negative test) (N=53702),1.09%,8.01%,64.22%,0.13%,2.14%,25.44%
