,Asian,Black,White,H/PI,Other,Unknown
Case (N=52030),1.21%,7.56%,76.41%,0.12%,3.48%,11.22%
Not a Case (Negative test) (N=23649),0.86%,6.96%,50.13%,0.21%,8.61%,37.31%
