,Asian,Black,White,H/PI,Other,Unknown
Case (N=20026),1.10%,8.20%,75.91%,0.18%,3.52%,16.83%
Not a Case (Negative test) (N=98079),1.05%,7.16%,62.12%,0.12%,5.07%,25.38%
