,Asian,Black,White,H/PI,Other,Unknown
Case (N=35843),1.08%,7.84%,79.25%,0.01%,3.33%,21.37%
Not a Case (Negative test) (N=23649),1.10%,7.48%,60.33%,0.16%,6.52%,26.23%
