,Asian,Black,White,H/PI,Other,Unknown
Case (N=35843),1.45%,8.91%,90.33%,0.12%,3.83%,14.31%
Not a Case (Negative test) (N=23649),0.87%,7.06%,52.06%,0.20%,8.14%,35.07%
