,Asian,Black,White,H/PI,Other,Unknown
Case (N=35843),1.38%,8.50%,86.08%,0.12%,3.72%,16.63%
Not a Case (Negative test) (N=23649),0.93%,7.26%,55.69%,0.18%,7.48%,31.29%
