,Asian,Black,White,H/PI,Other,Unknown
Case (N=9813),1.28%,10.55%,77.20%,0.28%,4.81%,10.20%
Not a Case (Negative test) (N=30729),1.03%,9.88%,68.89%,0.16%,4.20%,17.66%
