,Asian,Black,White,H/PI,Other,Unknown
Case (N=10461),1.27%,10.37%,78.15%,0.27%,4.66%,9.66%
Not a Case (Negative test) (N=30729),1.03%,9.95%,68.43%,0.16%,4.30%,18.04%
