,Asian,Black,White,H/PI,Other,Unknown
Case (N=9497),1.28%,10.59%,75.51%,0.28%,4.84%,11.58%
Not a Case (Negative test) (N=30729),1.03%,9.87%,69.48%,0.16%,4.14%,17.07%
