,Asian,Black,White,H/PI,Other,Unknown
Case (N=31897),0.98%,7.32%,72.12%,0.13%,3.27%,25.93%
Not a Case (Negative test) (N=23649),1.12%,7.58%,63.29%,0.15%,6.03%,23.36%
