,Asian,Black,White,H/PI,Other,Unknown
Case (N=35843),1.43%,8.79%,89.42%,0.12%,3.82%,14.61%
Not a Case (Negative test) (N=23649),0.89%,7.13%,53.04%,0.19%,7.89%,34.06%
