,Asian,Black,White,H/PI,Other,Unknown
Case (N=33663),1.00%,7.50%,74.76%,0.12%,3.17%,24.51%
Not a Case (Negative test) (N=23649),1.13%,7.56%,62.39%,0.15%,6.18%,24.19%
