,Asian,Black,White,H/PI,Other,Unknown
Case (N=35843),1.04%,7.82%,78.35%,0.12%,3.43%,21.92%
Not a Case (Negative test) (N=23649),1.12%,7.48%,60.89%,0.16%,6.41%,25.81%
