,Asian,Black,White,H/PI,Other,Unknown
Case (N=52030),1.16%,7.85%,75.35%,0.13%,3.73%,11.78%
Not a Case (Negative test) (N=23649),0.89%,6.53%,49.23%,0.23%,9.36%,38.86%
