,Asian,Black,White,H/PI,Other,Unknown
Case (N=14708),1.11%,9.07%,78.09%,0.21%,3.82%,12.96%
Not a Case (Negative test) (N=53702),1.10%,8.17%,63.62%,0.13%,2.22%,25.92%
