,Asian,Black,White,H/PI,Other,Unknown
Case (N=35843),1.38%,8.49%,85.91%,0.11%,3.60%,16.79%
Not a Case (Negative test) (N=23649),0.93%,7.26%,55.84%,0.18%,7.44%,31.06%
