,Asian,Black,White,H/PI,Other,Unknown
Case (N=20958),1.08%,8.06%,75.28%,0.18%,3.38%,17.70%
Not a Case (Negative test) (N=98079),1.05%,7.18%,62.11%,0.13%,5.15%,25.31%
