,Asian,Black,White,H/PI,Other,Unknown
Case (N=13454),1.11%,9.73%,77.11%,0.22%,4.03%,12.66%
Not a Case (Negative test) (N=53702),1.10%,8.01%,64.17%,0.13%,2.14%,25.50%
