,Asian,Black,White,H/PI,Other,Unknown
Case (N=51764),1.23%,7.52%,76.22%,0.12%,3.43%,11.48%
Not a Case (Negative test) (N=23649),0.85%,7.01%,50.53%,0.21%,8.54%,36.83%
