,Asian,Black,White,H/PI,Other,Unknown
Case (N=20421),1.11%,8.13%,75.68%,0.18%,3.50%,17.13%
Not a Case (Negative test) (N=98079),1.05%,7.17%,62.12%,0.12%,5.09%,25.36%
