,Asian,Black,White,H/PI,Other,Unknown
Case (N=51813),1.22%,7.53%,76.23%,0.12%,3.44%,11.46%
Not a Case (Negative test) (N=23649),0.85%,7.00%,50.40%,0.21%,8.58%,36.97%
