,Asian,Black,White,H/PI,Other,Unknown
Case (N=14708),1.09%,9.05%,78.17%,0.21%,3.86%,12.98%
Not a Case (Negative test) (N=53702),1.11%,8.18%,63.59%,0.13%,2.23%,25.96%
