,Asian,Black,White,H/PI,Other,Unknown
Case (N=35843),1.47%,8.91%,90.96%,0.12%,3.84%,14.04%
Not a Case (Negative test) (N=23649),0.86%,7.08%,51.34%,0.20%,8.28%,35.76%
