,Asian,Black,White,H/PI,Other,Unknown
Case (N=10527),1.27%,10.35%,78.30%,0.27%,4.62%,9.53%
Not a Case (Negative test) (N=30729),1.03%,9.96%,68.34%,0.16%,4.31%,18.12%
