,Asian,Black,White,H/PI,Other,Unknown
Case (N=35843),1.13%,7.95%,80.41%,0.11%,3.03%,20.72%
Not a Case (Negative test) (N=23649),1.08%,7.45%,59.63%,0.16%,6.66%,26.82%
